"id";"date";"text"
1583471871475224576;2022-10-21 14:54:48+00:00;"Redbull were under the budget cap when it was all submitted but a rule change in the middle of the next season was enforced that has pushed them over itThen later on in the that season there is rumours/leaks coming from their rivals that RB broke the cap. Interesting."
1583471941398110209;2022-10-21 14:55:04+00:00;"Its_FalconFo Yoooo the girls cosplay tho "
1583471977247158272;2022-10-21 14:55:13+00:00;"cafc_daniel tigaby7 raz_rodgers ESPNF1 Thats how it works.... the fia says they cheated redbull know they didnt so fia give a offer if redbull takes the offer they say redbull has officially cheated and if redbull doesnt they go to court and we will see who wins ( redbulll)"
1583471980560334848;2022-10-21 14:55:14+00:00;"NickiTaylor redbullgaming Will you be on redbullgaming twitch channel 'casting'? "
1583471999665328128;2022-10-21 14:55:18+00:00;"Thinking of the donut I left at home. Now all I'm having for breakfast is a redbull"
1583472066317074433;2022-10-21 14:55:34+00:00;"SilverArrowsNet Oh shut up Checo! You are only a wingman! Remember that"
1583472104980500482;2022-10-21 14:55:43+00:00;"MadiDuVernayy Did this in college that was a Mountain Dew and possibly Redbull kind of day.Good luck!"
1583472176065576960;2022-10-21 14:56:00+00:00;"EngineMode11 Mercedes finds a loophole: innovation!Redbull find a loophole: CHEATERS! DEMONS! RACISTS!"
1583472207292166145;2022-10-21 14:56:08+00:00;"dragonnero_SOL wozgun wozz is busy eating 2 sandwiches and 2 Redbull"
1583472226942472192;2022-10-21 14:56:13+00:00;"jespair Mackorous cytrusf1 Not that I disagree. It would be a massive statement of dominance if Red Bull sued the FIA for damages. Between that and the alleged leaking of the info, it's not been an easy on for the FIA and it's looking more and more like Red Bull might come out of this clean"
1583472247771013120;2022-10-21 14:56:18+00:00;"SilverArrowsNet Nope, that's the story RedBullCheats try to sell...the reality is that 'there are always teams that want to take points out of you, especially when you are cheating'."
1583472249167699968;2022-10-21 14:56:18+00:00;"SilverArrowsNet For all you know, he has negotiated equal parts as payment for his public support."
1583472353333235713;2022-10-21 14:56:43+00:00;"Willseh14 Merc spy in FIA"
1583472408752594944;2022-10-21 14:56:56+00:00;"JayCee61902 brawngpf1team Formula24hrs I know but that is the only possible option. Ut wont happen but other 4 teams have young talents (and Hamilton but he is Hamilton and wont retire for atleast 5 more years)"
1583472508602568704;2022-10-21 14:57:20+00:00;"oscarpastries enemies to lovers, we love it"
1583472581910614016;2022-10-21 14:57:37+00:00;"Willseh14 Oh yeah, not sus at ALL. Apparently it's okay for certain teams to exploit loopholes in the rules but the second RB do it... "
1583472637325758464;2022-10-21 14:57:50+00:00;"NickSchabernack formulamatt3316 formularacers_ GiulyDuchessa Mercedes will be back"
1583472680187047936;2022-10-21 14:58:01+00:00;"Willseh14 Youre the textbook definition of a delusional person"
1583472710541520897;2022-10-21 14:58:08+00:00;"SilverArrowsNet They did it to themselves"
1583472718841729024;2022-10-21 14:58:10+00:00;"Willseh14 Yeah if you believe they were under the cap by 4 million you're stupid. You think any team that can afford to hot the budget cap wouldn't spent as much as they could? Maybe they submitted under by a couple thousand, but 4 million? Utter bs."
1583472820222234625;2022-10-21 14:58:34+00:00;"Lockz_23 tigaby7 raz_rodgers ESPNF1 Red bull say they didn't. The fia announced they did so it's now red bulls vs the whole of the paddocks"
1583472893992005634;2022-10-21 14:58:52+00:00;"jay_swagj Yuck Red Bull"
1583472891500580866;2022-10-21 14:58:51+00:00;"Willseh14 Then why did the other 9 teams not mess up because of this supposed rule change?"
1583472902082396160;2022-10-21 14:58:54+00:00;"I have redbull for my stream later &amp a couple of dbd codes to giveaway HWFG"
1583472904683270147;2022-10-21 14:58:54+00:00;"Willseh14 and Mohammed Ben Sulayem refusing a meeting with Horner..."
1583472935842770946;2022-10-21 14:59:02+00:00;"Alex_Gillon But when Masi asked RedBull to give up a place to Lewis as part of a deal that was ok? It seems you only seem to tweet when it isn't Lewis that benefits."
1583472944856301568;2022-10-21 14:59:04+00:00;"bvbyswan1 Im pretty sure they are going to win it. No stopping Verstappen this season. Only hope is Perez gets a DNF and Mercedes' gets 1-2. This would have to happen a few races this season. "
1583472985750458368;2022-10-21 14:59:13+00:00;"Pouriajafarkhan cytrusf1 Yeah, and WHY TF Binotto knew that?"
1583473043305005063;2022-10-21 14:59:27+00:00;"Oh FIA are a JOKE "
1583473131422769152;2022-10-21 14:59:48+00:00;"Willseh14 Mercedes are the biggest cheats in history"
1583473165719638016;2022-10-21 14:59:56+00:00;"NickiTaylor redbullgaming You and ChrissyCostanza better get a picture together"
1583473194614374400;2022-10-21 15:00:03+00:00;"Bottas wants 'harsh' Red Bull penaltyAlfa Romeo driver leads calls for punishment after Verstappen's team breaches budget capRead more: Formula1 AlfaRomeo ValtteriBorras RedBull Verstappen BudgetCap "
1583473282698735616;2022-10-21 15:00:24+00:00;"fig apple is the best redbull flavor ever made"
1583473399007178753;2022-10-21 15:00:52+00:00;"f1trolls_ Redbull??"
1583473407353835526;2022-10-21 15:00:54+00:00;"redbullracing EngineModeLE86 And now you're trying to copy LewisHamilton !! So everything at redbullracing is bull$hit!! Even the history of redbull is fake, stop communicate that the drink is from Austria because that too is not true!!"
1583473410402680833;2022-10-21 15:00:55+00:00;"RylanRito EngineMode11 lets see, a wing change that if illegal the FIA will tell them to take it off, compared to a breach of the budget cap. is this rocket science?"
1583473441386115072;2022-10-21 15:01:02+00:00;"SilverArrowsNet Mercedes have always play dirty..."
1583473467999289344;2022-10-21 15:01:08+00:00;"SilverArrowsNet But when redbullracing performance comes from cheating the CostCap"
1583473516417949698;2022-10-21 15:01:20+00:00;"cafc_daniel tigaby7 raz_rodgers ESPNF1 And redbull will win since the fia changed the rules after everyone gave the budget cap money thing ( idk what its callled)"
1583473541294350337;2022-10-21 15:01:26+00:00;"DampQuiche285 BrianPa84135144 BEighteenstone Max33Verstappen Oracle redbullracing Love how you actually think I'm a RedBull fan"
1583473584160534528;2022-10-21 15:01:36+00:00;"AlpeKojot Smol "
1583473589398872065;2022-10-21 15:01:37+00:00;"Sportsfan1999_ Curious395 F1_Jordan Are you high? This is for 2021. Not this year. Lewis won last year and thats what we want changed. Congrats on max for this year though. But last year he didnt win on merit."
1583473603009732615;2022-10-21 15:01:41+00:00;"The fact that my bestie knows my redbull addiction and gets me one all the time "
1583473648379527168;2022-10-21 15:01:51+00:00;"ghostwellerGAME I love you"
1583473764892741633;2022-10-21 15:02:19+00:00;"Alienware Then I mix my coffee with redbull to get to work on time. The downside is I forget my car every time."
1583473894769315844;2022-10-21 15:02:50+00:00;"cytrusf1 Cry more "
1583473951992270848;2022-10-21 15:03:04+00:00;"SkySportsF1 I bet redbull is losing sleep over teams not happy with them "
1583473963232940032;2022-10-21 15:03:07+00:00;"ahmadtamerr redbull top"
1583474175515062274;2022-10-21 15:03:57+00:00;"It's time for RB to take the FIA to court and embarrass them  "
1583474182486388736;2022-10-21 15:03:59+00:00;"I battered out over 1000 words today, fuelled with redbull and tea cakes... ESPV? Completed it  "
1583474214723416064;2022-10-21 15:04:06+00:00;"redbullracing can I have paddock passes  I'm poor but I've consumed so much redbull over the years it has to be at least 50% of my bloodstream. I'll drive to TX now"
1583474247909138434;2022-10-21 15:04:14+00:00;"roroillustrator Bruh every week yall repeat the same sh*t, dont u get tired?"
1583474303164502016;2022-10-21 15:04:28+00:00;"SilverArrowsNet For the fia , it should be so embarrassing at this point. We implore transparency at this...."
1583474384534409217;2022-10-21 15:04:47+00:00;"how did the 9 other teams not break it then if it was such a shocking rule change "
1583474407342690310;2022-10-21 15:04:52+00:00;"ang22la homie the trick is yellow redbull"
1583474419078672390;2022-10-21 15:04:55+00:00;"kd_machine bascanvas lakeshow12345 JunaidSamodien_ fia Fake fan. Fuck off."
1583474498593964032;2022-10-21 15:05:14+00:00;"Willseh14 rbrzoe and the person who announced the cost cap breach was an ex-merc personnel toovery interesting indeed"
1583474497839312897;2022-10-21 15:05:14+00:00;"&lt- - - balancing a can of redbull on his pecs . . ()"
1583474514343915522;2022-10-21 15:05:18+00:00;"Everyone talks about femboys and monsters while i genuinely prefer redbullfemboyfriday "
1583474524846456832;2022-10-21 15:05:20+00:00;"KuirsoK is it actually. cuz i will guzzle that shit rn"
1583474589870751746;2022-10-21 15:05:36+00:00;"Motorsport FIA should release money RedBull paid to them for W Series"
1583474669490868224;2022-10-21 15:05:55+00:00;"ljb478 BrianPa84135144 BEighteenstone Max33Verstappen Oracle redbullracing RedBull fan or not. You're spouting propaganda to support them but not showing the complete text, then arguing that I'm wrong, when I'm not. Which is a typically RedBull fan thing to do.I notice you haven't corrected your statement to include JWs motor race comment."
1583474680861970432;2022-10-21 15:05:58+00:00;"sonictoyhunter redbull gotta go fast! oh boy i can feel my heart stopping!!! way past cool!!"
1583474710616346625;2022-10-21 15:06:05+00:00;"Literally cheating Sergio be thankful your team is allowed to race "
1583474848109858817;2022-10-21 15:06:37+00:00;"Lockz_23 cafc_daniel tigaby7 raz_rodgers ESPNF1 I read about that too. The FIA initially didnt include the cost of unused reserve parts, and 3 months after every team handed over their spending sheets, they changed that rule."
1583474968192765952;2022-10-21 15:07:06+00:00;"Been attending these events for nearly 10 years and the number of diverse voices, and companies prioritizing diversity feels real &amp substantive. Thank you dallasmavs ElPolloLoco sprinkles redbull TheLandVault BISummit DEI "
1583475057220734977;2022-10-21 15:07:27+00:00;"rudolph_FN Especially if they're that concerned about it"
1583475060265742336;2022-10-21 15:07:28+00:00;"The 9 other teams managed to be under the budget cap regardless... "
1583475195334971393;2022-10-21 15:08:00+00:00;"GoldenMan_Lunc You were never a supporter. You sold some one bought. Thank you for that. Keep selling.. If you need more energy keep adding Redbull in your bag."
1583475244051812353;2022-10-21 15:08:12+00:00;"have a happy redbull morning everyone :) "
1583475619433938945;2022-10-21 15:09:41+00:00;"jonocoetzer Agreed p"
1583475633912365056;2022-10-21 15:09:45+00:00;"f1cover You take them to court and prove that the FIA has made a few errors and when all is finally in order you kick some butts at the paddock, hand out some mirrors and have them look at their ugly selves?"
1583475694855950336;2022-10-21 15:09:59+00:00;"ItsVenx mx_rojo994 Willseh14 So all of this is happening for no reason? if that was the case why isn't redbull saying anything about that?"
1583475730339758080;2022-10-21 15:10:08+00:00;"Tequila redbull* "
1583476061912068098;2022-10-21 15:11:27+00:00;"Headed to Tampa today for our SouthEast regional qualifier redbullgaming RedBull redbullcampusclutch"
1583476099971166209;2022-10-21 15:11:36+00:00;"redbull I am so stoked that your bringing Drone footage for redbullrampage !!"
1583476129708773377;2022-10-21 15:11:43+00:00;"rbrzoe andrewbensonf1 What other deals?"
1583476143302139905;2022-10-21 15:11:46+00:00;"f1trolls_ Redbull spamming the red button during development"
1583476181101207552;2022-10-21 15:11:55+00:00;"ayh38863352 mx_rojo994 Willseh14 Didn't RB put out a statement + wanted to talk to Ben Sulayem + doing a interview with sky sports talking about it?"
1583476309635653632;2022-10-21 15:12:26+00:00;"wckd88 lancergalant wtf1official God forbid redbull want to treat their employees well and feed them, house them, etc. Pesky cheaters "
1583476335472947202;2022-10-21 15:12:32+00:00;"f1trolls_ He was a redbull car"
1583476366426525696;2022-10-21 15:12:39+00:00;"cwagsworld SkySportsF1 Please read the sentence."
1583476443216216065;2022-10-21 15:12:58+00:00;"RishcaAbrahams fia Ben_Sulayem Oh look, more idiotic comments from LH fans. HE LOST THE TITLE, GET OVER IT!"
1583476450564648961;2022-10-21 15:13:00+00:00;"SilverArrowsNet Still at it with the mercedes news i see"
1583476464921346048;2022-10-21 15:13:03+00:00;"f1trolls_ Redbull "
1583476488862457856;2022-10-21 15:13:09+00:00;"SilverArrowsNet Redbull pit wall. "
1583476568516874242;2022-10-21 15:13:28+00:00;"M4ttiaB1notto f1trolls_ Ironic from a Dinoco fan "
1583477034453733376;2022-10-21 15:15:19+00:00;"wndyW1LL0w Make sure when you get to your destination to go barefoot on natural ground for 20 minutes. Or touch a tree that has some green on if left. This will help regulate your body to adjust to the time change. The red bull might not help though..."
1583477060760064000;2022-10-21 15:15:25+00:00;"Willseh14 The FIA using a new rule to retroactively accuse RB of cheating is something I didnt have on my bingo card this year."
1583477202955300865;2022-10-21 15:15:59+00:00;"Willseh14 pireIli Yeah redbull is the sus one here mate, not this supposed rule change"
1583477299399122944;2022-10-21 15:16:22+00:00;"ayh38863352 Willseh14 That literally doesnt matter mate.... redbull will win this easily in court..."
1583477358698250240;2022-10-21 15:16:36+00:00;"cytrusf1 You might be right but i didn't see you kicking up a fuss about 'changing rules' last season. Either you are against changing rules on the fly or you are not. I can't respect this opinion when you seem to pick and choose your side depending on who you like and don't."
1583477466806751232;2022-10-21 15:17:02+00:00;"ayh38863352 pireIli a rule change that has pushed Redbull over the cap how is that not sus"
1583477501518811137;2022-10-21 15:17:10+00:00;"Ll0ydy_ 15Matthewdixon MrTomWaffles SkySportsF1 Would be great if they gave the numbers for overspend and where it was spent, the silence from the FIA is not helping"
1583477565330976768;2022-10-21 15:17:25+00:00;"F1icktv Water."
1583477571135471616;2022-10-21 15:17:27+00:00;"jonathanTighe78 EngineMode11 I like redbull but you're an idiot, rb does the same thing every year, every team does, the issue is the fact that they went over the budget."
1583477589339144194;2022-10-21 15:17:31+00:00;"Willseh14 They were under the cap because red bullshit cooked the books. Funny no other team fell foul to the rules don't you think RED BULL GIVES YOU CHEATS"
1583477611916759040;2022-10-21 15:17:36+00:00;"TNT &gt redbull "
1583477629919055872;2022-10-21 15:17:41+00:00;"SilverArrowsNet He's conveniently forgot about all the times they accused Mercedes of cheating, you still can't beat Mercedes' fair &amp square they live in your head rent free"
1583477648906285056;2022-10-21 15:17:45+00:00;"Really enjoying the Dutch Twitter flow regarding the CostCap saga. The RealF1Fans giving the same comments as the rest of us, not just supporting RedBull. Just proves that we are ALL DISGUSTED WHEN TEAMS CHEAT, AND THE FIA SUPPORTS CHEATING! UpTheDutch"
1583477752606302210;2022-10-21 15:18:10+00:00;"casa_novaa1 Motorsport Jesus your a redbull fan and have the gall to start calling people frauds I guess for you winning is winning with no conscience whatsoever"
1583477803659407360;2022-10-21 15:18:22+00:00;"Willseh14 Why didn't that affect the other teams? "
1583477813016862720;2022-10-21 15:18:24+00:00;"Willseh14 pireIli Oh? A 'rule change' that supposedly happened and 9 out of 10 teams weren't affected by it and only 1 was, so the issue is the rule change itself not that 1 team?"
1583477833417904134;2022-10-21 15:18:29+00:00;"I'm a redbull + Goose guy (for breakfast at least), but she's inspired me: Satan wants me on MonsterEnergy, so I shall give it a try. For a day. I mean morning. Now if you'll excuse me, I have some posters to make at my dead chicken temple to taurine. "
1583477872907653120;2022-10-21 15:18:39+00:00;"Willseh14 ayh38863352 rule change applied to all teams but only one exceeded"
1583477905971040256;2022-10-21 15:18:47+00:00;"Willseh14 I'm saying this to salty Hamilton fans and I will say it to you. Don't make assumptions based on your speculations. Just wait for the result and if rb didn't overspend we are gonna laugh at all the merc fans"
1583477920898875395;2022-10-21 15:18:50+00:00;"gr3engreengreen L i got redbull"
1583477959255805953;2022-10-21 15:18:59+00:00;"SilverArrowsNet oh Max dear dear me what a w****r you really are"
1583478028193394690;2022-10-21 15:19:16+00:00;"sophwebsterxx Valtteri shouldn't hold back. Why should he? Nobody should hold back. Rules are rules. Last year Lewis got eliminated for 0.2millimeters just because rules are rules. And redbull have spent multimillion dollars over the cap and they'll just get away with it?"
1583478041849626625;2022-10-21 15:19:19+00:00;"Why not Height           : 5 foot 11Shoe size      : 10.5 Zodiac sign   : Gemini Tattoos.        : N/APiercings.      : N/AFav colors.    : Turquoise / GoldFav drink.      : BRISK ICE TEA  "
1583478056663949312;2022-10-21 15:19:22+00:00;"cytrusf1 The whole F CEO is from Ferrari. Ferrari has FIA employees as recent as last year at FIA. Binotto was at redbull. The last F1 CEOs were from Ferrari. All the witch hunt doesn't stop the fact that there was a breach. It's this sport that goes to lengths to cover a cheat. Just BS."
1583478069687640065;2022-10-21 15:19:26+00:00;"Willseh14 Tell me more details please."
1583478079124811778;2022-10-21 15:19:28+00:00;"jakew12354 EngineMode11  what's you liking RB got to do with anything? And I generally don't care if idiots think I'm an idiot .. thanks for your input"
1583478110712123392;2022-10-21 15:19:35+00:00;"pireIli ayh38863352 that's the reason why it's sus against Redbull"
1583478121268793346;2022-10-21 15:19:38+00:00;"Willseh14 LewisHamilton  disgraceful  tedkravitz continue max agenda CroftyF1 shed some light"
1583478128898293760;2022-10-21 15:19:40+00:00;"Willseh14 pireIli This is like if a student cheats, and the teacher gets punished instead of the student"
1583478271311720449;2022-10-21 15:20:14+00:00;"Willseh14 pireIli You mean 'that's the reason why redbull is sus'"
1583478353243213825;2022-10-21 15:20:33+00:00;"Willseh14 When redbullracing finally get their meeting.. "
1583478366887628800;2022-10-21 15:20:36+00:00;"F1icktv Your body is ready for coke at this point, i fear "
1583478404212748289;2022-10-21 15:20:45+00:00;"ayh38863352 Willseh14 pireIli How is Red Bull sus though they don't set the rules "
1583478463352123393;2022-10-21 15:20:59+00:00;"RedBullPU1 Dude must be confused Hamilton to with Helmut Marko. There you go people, what drinking too much redbull does to your brain"
1583478513230704640;2022-10-21 15:21:11+00:00;"zolz98 ayh38863352 pireIli innit how is this making Redbull sus when a rule was changed to fuck them over "
1583478527973736449;2022-10-21 15:21:15+00:00;"RobLMyers autosport Rob thinks that his crying and whining on twitter gone a make difference. Maxo and redbull p  as"
1583478594847707136;2022-10-21 15:21:31+00:00;"RoyLyner SpannersReady Other than the champion, the other top teams drivers would gladly lose points in a current season for the chance of being more competitive next &amp as Max is 100+ points ahead the option is there for redbull. Mercedes use of engine penalties 2021 is the example of risk &amp reward"
1583478682219225088;2022-10-21 15:21:52+00:00;"Willseh14 Totally agree. What has pissed me off is that Toto seems to know so much about it, Shaila-Ann Rao has got to leave the FIA."
1583478701957607425;2022-10-21 15:21:56+00:00;"Even the pull-tabs are branded at the redbull factory... MKGO "
1583478716881342465;2022-10-21 15:22:00+00:00;"Honeymoon Update:Drinking a redbull in Central Park on a perfect fall morning is an experience everyone should experience at least once. "
1583478739266338818;2022-10-21 15:22:05+00:00;"It should be illegal to spew misinformation on social media. This is cancer. "
1583478786078953473;2022-10-21 15:22:16+00:00;"Willseh14 zolz98 pireIli You mean when a rule which all teams complied with but one didn't because they cheated"
1583478792428802049;2022-10-21 15:22:18+00:00;"bought a redbull "
1583478894950117376;2022-10-21 15:22:42+00:00;"NickiTaylor redbullgaming Good luck queen"
1583478966664409090;2022-10-21 15:22:59+00:00;"Lockz_23 ayh38863352 Willseh14 But it does matter, if 9 team did it with the new changes then why couldn't RBR?"
1583479015611826176;2022-10-21 15:23:11+00:00;"F1icktv As someone with heart issues and a caffeine sensitivity that relies them to stay up during overnights my advice is: exercise and drink copious amounts of water. Your heart will thank you. But you also may need a tolerance break. Switch to black tea or green tea with matcha"
1583479041046511616;2022-10-21 15:23:17+00:00;"_SkullCrusher1 redbull"
1583479237490929669;2022-10-21 15:24:04+00:00;"Yeahhhhh Redbull  Max is 2022WDC "
1583479252954976256;2022-10-21 15:24:08+00:00;"WHY DO THEY REFUSE TO BRING BACK THE KIWI APPLE REDBULL THAT WAS MY LIFE SOURCE"
1583479278750306306;2022-10-21 15:24:14+00:00;"Willseh14 Also interesting how this "rule change" affected a grand total of...*Drum roll please*... 1 TEAM AND ONLY 1 TEAM. All these excuses are hilarious "
1583479354172264448;2022-10-21 15:24:32+00:00;"SilverArrowsNet If the punishment is less or equal to the crime then you might as well breach the cap by 4.5m win in a year and just pay the 4.5m back 2 years later."
1583479381527531520;2022-10-21 15:24:38+00:00;"BornAKang redbull ads have evolved"
1583479420546740224;2022-10-21 15:24:48+00:00;"Willseh14 New excuse  cheatbull"
1583479465404866560;2022-10-21 15:24:58+00:00;"SilverArrowsNet You are being attacked as the team are a bunch of cheats"
1583479543888691203;2022-10-21 15:25:17+00:00;"HoogendonkLinda Motorsport You not see zak browns comment then or ferrari comment . I'm sure all the teams will be against redbull spending more then them and cheating haha"
1583479545671610370;2022-10-21 15:25:17+00:00;"ESPNF1 Yes let's disqualify RedBull at least Sir LewisHamilton will get 8 th championship"
1583479641826000898;2022-10-21 15:25:40+00:00;"SilverArrowsNet RBR cheated &amp it's everyone else's fault. Not a good response."
1583479717206044672;2022-10-21 15:25:58+00:00;"SilverArrowsNet Would love to see every teams grabbing the cost cap and see what he has to say"
1583479749250514945;2022-10-21 15:26:06+00:00;"Why tf is the FIA offering anything to Redbull. The rules are the mfing rules"
1583479951848005633;2022-10-21 15:26:54+00:00;"blawrence_pga redbull Along with sleeping on that bench overnight! "
1583480035150745600;2022-10-21 15:27:14+00:00;"F1 and all the rest. It's been a few week that everybody think they must tell redbullracing about their penalty.  I guess RedBull must tel all FIA to eff off.  If they take Max33Verstappen points away from last year be the better team and send F1 a "
1583480039097929729;2022-10-21 15:27:15+00:00;"StannisTheGod tgruener No redbull budget? "
1583480073633792000;2022-10-21 15:27:23+00:00;"my uber smells like poppers and redbull"
1583480112137523202;2022-10-21 15:27:33+00:00;"Lockz_23 Willseh14 And you know this how?"
1583480167552647170;2022-10-21 15:27:46+00:00;"SilverArrowsNet Spot on Max. They won't succeed"
